,2014,2015,2016,2017,2018,2019,2020,2021
0,2473,-1,-1,-1,-1,-1,-1,-1
1,3121,-1,-1,-1,-1,-1,-1,-1
2,9601,-1,-1,-1,-1,-1,-1,-1
3,9658,-1,-1,-1,-1,-1,-1,-1
4,936,-1,-1,-1,-1,-1,-1,-1
5,228,-1,-1,-1,-1,-1,-1,-1
6,2166,-1,-1,-1,-1,-1,-1,-1
7,3276,-1,-1,-1,-1,-1,-1,-1
8,6145,-1,-1,-1,-1,-1,-1,-1
9,2947,-1,-1,-1,-1,-1,-1,-1
10,3592,-1,-1,-1,-1,-1,-1,-1
11,2623,-1,-1,-1,-1,-1,-1,-1
12,3094,-1,-1,-1,-1,-1,-1,-1
13,2024,-1,-1,-1,-1,-1,-1,-1
14,4611,-1,-1,-1,-1,-1,-1,-1
15,2524,-1,-1,-1,-1,-1,-1,-1
16,4483,-1,-1,-1,-1,-1,-1,-1
17,6343,-1,-1,-1,-1,-1,-1,-1
18,4902,-1,-1,-1,-1,-1,-1,-1
19,1419,2885,-1,-1,-1,-1,-1,-1
20,2577,-1,-1,-1,-1,-1,-1,-1
21,4609,-1,-1,-1,-1,-1,-1,-1
22,2638,-1,-1,-1,-1,-1,-1,-1
23,136,-1,-1,-1,-1,-1,-1,-1
24,571,-1,-1,-1,-1,-1,-1,-1
25,3446,-1,-1,-1,-1,-1,-1,-1
26,1421,-1,-1,-1,-1,-1,-1,-1
27,3477,-1,-1,-1,-1,-1,-1,-1
28,1767,2560,-1,-1,-1,-1,-1,-1
29,1996,-1,-1,-1,-1,-1,-1,-1
30,7717,-1,-1,-1,-1,-1,-1,-1
31,5817,-1,-1,-1,-1,-1,-1,-1
32,2221,-1,-1,-1,-1,-1,-1,-1
33,985,-1,-1,-1,-1,-1,-1,-1
34,4223,-1,-1,-1,-1,-1,-1,-1
35,2580,-1,-1,-1,-1,-1,-1,-1
36,1939,-1,-1,-1,-1,-1,-1,-1
37,3268,-1,-1,-1,-1,-1,-1,-1
38,1891,-1,-1,-1,-1,-1,-1,-1
39,6758,-1,-1,-1,-1,-1,-1,-1
40,2338,-1,-1,-1,-1,-1,-1,-1
41,4156,-1,-1,-1,-1,-1,-1,-1
42,940,2219,-1,-1,-1,-1,-1,-1
43,2006,-1,-1,-1,-1,-1,-1,-1
44,6067,-1,-1,-1,-1,-1,-1,-1
45,2330,-1,-1,-1,-1,-1,-1,-1
46,2050,-1,-1,-1,-1,-1,-1,-1
47,3097,-1,-1,-1,-1,-1,-1,-1
48,4373,-1,-1,-1,-1,-1,-1,-1
49,1228,-1,-1,-1,-1,-1,-1,-1
50,1810,-1,-1,-1,-1,-1,-1,-1
51,1351,-1,-1,-1,-1,-1,-1,-1
52,2958,-1,-1,-1,-1,-1,-1,-1
53,1161,-1,-1,-1,-1,-1,-1,-1
54,1323,-1,-1,-1,-1,-1,-1,-1
55,4313,-1,-1,-1,-1,-1,-1,-1
56,1683,-1,-1,-1,-1,-1,-1,-1
57,313,-1,-1,-1,-1,-1,-1,-1
58,2827,-1,-1,-1,-1,-1,-1,-1
59,4244,-1,-1,-1,-1,-1,-1,-1
60,3721,-1,-1,-1,-1,-1,-1,-1
61,3647,-1,-1,-1,-1,-1,-1,-1
62,8046,-1,-1,-1,-1,-1,-1,-1
63,4012,-1,-1,-1,-1,-1,-1,-1
64,4515,-1,-1,-1,-1,-1,-1,-1
65,3465,-1,-1,-1,-1,-1,-1,-1
66,5005,-1,-1,-1,-1,-1,-1,-1
67,4229,-1,-1,-1,-1,-1,-1,-1
